customer_id,age,temps_visite_minutes,nombre_produits_consultes,nombre_articles_panier,sessions_precedentes,jour_semaine,appareil,source_traffic,client_vip,promotions_utilisees,revenue
1,71,8.417401709337813,7,2,4,Dimanche,Mobile,Direct,0,0,81864.01368806334
2,43,7.580636320949568,7,2,4,Samedi,Mobile,Payant,1,0,98262.60921063353
3,28,1.6945735518944478,7,2,4,Mardi,Mobile,Direct,0,1,63652.063216814044
4,25,4.686757058272859,7,2,4,Lundi,Desktop,Payant,0,0,58666.523953747805
5,61,1.229398447921718,7,2,4,Vendredi,Mobile,Réseaux,0,1,76559.52178446749
6,57,14.063205003910811,7,2,4,Mercredi,Desktop,Payant,0,0,96643.6166661678
7,60,2.6782802739650293,7,2,4,Vendredi,Mobile,Payant,0,1,63117.76362694957
8,39,31.95581369620208,7,2,4,Mercredi,Desktop,Payant,1,1,132469.72668889142
9,37,12.108080001993976,7,2,4,Jeudi,Desktop,Organique,0,0,71112.13007324025
10,25,19.044095525339685,7,2,4,Mardi,Mobile,Réseaux,0,0,80732.61994470136
11,46,8.93629744458862,7,2,4,Jeudi,Mobile,Payant,0,1,76175.75942374565
12,57,13.33448753188778,7,2,4,Mercredi,Mobile,Payant,0,0,79699.95771465014
13,43,43.88113697598632,7,2,4,Mercredi,Tablette,Direct,0,0,120111.52873404107
14,47,2.2953672347707084,7,2,4,Mercredi,Desktop,Réseaux,0,0,82673.99289438679
15,34,5.394193999080796,7,2,4,Samedi,Tablette,Payant,0,1,77204.03117937941
16,37,23.711120118097824,7,2,4,Lundi,Mobile,Direct,0,0,81509.23768760831
17,69,2.559375934359873,7,2,4,Mardi,Desktop,Direct,0,1,76884.65655676273
18,72,2.1801475587673833,7,2,4,Jeudi,Desktop,Organique,0,0,67351.13089207103
19,33,7.73047664691549,7,2,4,Jeudi,Desktop,Direct,1,1,82532.96162673271
20,63,2.450438406734394,7,2,4,Vendredi,Tablette,Payant,1,0,85215.48355717763
21,60,14.194986909727254,7,2,4,Mercredi,Mobile,Organique,0,1,96755.46333767513
22,24,4.848086347760576,7,2,4,Dimanche,Mobile,Organique,0,0,49749.77273561334
23,33,34.90696583314405,7,2,4,Mercredi,Desktop,Payant,1,1,136763.1866058001
24,62,23.952476574382924,7,2,4,Mercredi,Desktop,Réseaux,0,1,108587.66939054405
25,64,19.044859607075804,7,2,4,Dimanche,Mobile,Direct,1,0,104634.53782635901
26,73,15.393612368201032,7,2,4,Jeudi,Mobile,Organique,1,0,106681.11307778045
27,65,30.8676945414678,7,2,4,Vendredi,Mobile,Réseaux,0,0,116078.1876893716
28,44,4.785922076348976,7,2,4,Lundi,Mobile,Payant,0,0,69369.29609848058
29,70,31.96638384434499,7,2,4,Dimanche,Mobile,Direct,1,1,138218.4957756748
30,40,24.373495592047856,7,2,4,Samedi,Desktop,Direct,0,0,87357.45349948824
31,41,21.68446892737185,7,2,4,Mardi,Desktop,Organique,0,0,86220.94370631549
32,26,13.357576686506672,7,2,4,Dimanche,Mobile,Direct,0,1,76371.37415480166
33,52,5.240301764971155,7,2,4,Lundi,Mobile,Direct,0,0,53993.686049652664
34,68,9.26294587096743,7,2,4,Jeudi,Mobile,Direct,0,0,91665.72440496983
35,37,24.666956167883864,7,2,4,Samedi,Mobile,Direct,0,0,89333.59132468393
36,54,1.4844156911687705,7,2,4,Samedi,Desktop,Payant,1,1,95597.44914198371
37,59,23.852396947694928,7,2,4,Samedi,Tablette,Réseaux,0,1,103899.8442397866
38,34,5.11794894434256,7,2,4,Mercredi,Mobile,Payant,0,1,66734.49807234271
39,64,3.337692758362004,7,2,4,Mardi,Desktop,Payant,0,0,67999.57216323978
40,48,2.844405970748057,7,2,4,Jeudi,Desktop,Organique,0,1,62680.13612930721
41,72,1.4144226910460773,7,2,4,Jeudi,Desktop,Direct,0,0,84232.8102875195
42,74,12.122036100258791,7,2,4,Samedi,Mobile,Payant,1,0,95563.81370167232
43,25,4.693493675340525,7,2,4,Jeudi,Tablette,Direct,1,0,71111.59755549706
44,32,69.24853823258286,7,2,4,Mardi,Mobile,Payant,0,0,142196.88729595262
45,48,13.815125607487643,7,2,4,Mardi,Mobile,Payant,0,0,86139.71054359188
46,70,3.22550378470509,7,2,4,Vendredi,Mobile,Organique,0,0,71130.44390313406
47,47,18.50798685667566,7,2,4,Dimanche,Mobile,Réseaux,0,0,75426.27331824558
48,63,35.204073502274,7,2,4,Dimanche,Mobile,Réseaux,0,0,118850.75255093952
49,37,21.507938276354306,7,2,4,Vendredi,Mobile,Payant,0,1,98790.95324746903
50,56,2.192790411542334,7,2,4,Lundi,Mobile,Organique,1,0,88274.30440888822
51,70,34.933770356532534,7,2,4,Dimanche,Desktop,Direct,0,1,127086.29844672662
52,72,24.693045727646158,7,2,4,Mardi,Desktop,Direct,0,0,115495.96035203151
53,29,3.585043845710221,7,2,4,Mardi,Mobile,Payant,0,1,82216.27900036692
54,66,1.7976241969242772,7,2,4,Dimanche,Desktop,Réseaux,0,0,63356.90220129921
55,34,13.223302416217319,7,2,4,Mardi,Desktop,Organique,0,0,82978.97286815774
56,59,3.544678236759729,7,2,4,Vendredi,Desktop,Réseaux,0,0,70360.78013307604
57,47,27.990006966085613,7,2,4,Samedi,Mobile,Direct,0,1,109038.48672127441
58,46,7.655325749139315,7,2,4,Samedi,Desktop,Réseaux,0,1,67719.1027841087
59,36,37.60917484721754,7,2,4,Jeudi,Tablette,Direct,0,0,103826.9922865623
60,63,13.509887582596624,7,2,4,Samedi,Desktop,Organique,0,0,76891.45821649709
61,28,4.025728990268205,7,2,4,Mercredi,Mobile,Organique,0,1,73577.49021480253
62,51,3.255348477673368,7,2,4,Vendredi,Mobile,Payant,0,1,81692.58378339048
63,67,13.887050267493208,7,2,4,Mardi,Desktop,Payant,1,0,90081.65025125926
64,24,22.524935485851305,7,2,4,Dimanche,Mobile,Réseaux,0,0,81108.33712723723
65,61,23.81492668856289,7,2,4,Samedi,Mobile,Organique,0,0,102408.24681841974
66,51,5.83943298975298,7,2,4,Vendredi,Mobile,Organique,0,1,76839.41001342334
67,37,4.426992097459587,7,2,4,Samedi,Desktop,Payant,0,0,66577.22652243754
68,67,1.2534741937351082,7,2,4,Lundi,Desktop,Direct,0,1,79594.68500675038
69,55,18.054021356674546,7,2,4,Mardi,Mobile,Réseaux,0,0,87786.14249653336
70,41,2.1948759225126615,7,2,4,Lundi,Tablette,Réseaux,0,0,58410.67435214423
71,27,9.190606813790717,7,2,4,Mardi,Mobile,Payant,0,0,56798.590658976944
72,49,14.807575142901038,7,2,4,Vendredi,Desktop,Organique,1,1,101459.40097156643
73,69,42.49527000952393,7,2,4,Jeudi,Desktop,Payant,0,1,136622.56268215866
74,32,6.605183361419246,7,2,4,Samedi,Desktop,Payant,1,0,82795.24177710789
75,54,5.310675027699646,7,2,4,Samedi,Tablette,Payant,0,1,77444.72908410922
76,37,16.926692271141064,7,2,4,Mercredi,Mobile,Payant,0,0,75399.98709798338
77,20,15.483752221887002,7,2,4,Dimanche,Desktop,Direct,1,0,88369.72847277304
78,54,7.054471978322003,7,2,4,Lundi,Mobile,Direct,0,0,77668.63054549914
79,74,40.487568148433986,7,2,4,Samedi,Desktop,Organique,0,0,118962.86553821294
80,57,28.951635198151624,7,2,4,Vendredi,Desktop,Payant,0,0,91695.16823745334
81,25,4.803703999149456,7,2,4,Jeudi,Desktop,Direct,0,1,73061.27136867393
82,57,5.099638779747366,7,2,4,Dimanche,Mobile,Organique,0,0,67891.08465315515
83,61,11.770832913067325,7,2,4,Vendredi,Desktop,Payant,0,1,89312.93403535789
84,73,23.27993072010599,7,2,4,Lundi,Mobile,Réseaux,1,0,128468.84715025563
85,40,1.6755940701523193,7,2,4,Mercredi,Mobile,Direct,0,1,68870.35658125373
86,57,18.72999750574321,7,2,4,Samedi,Desktop,Organique,1,0,108632.94979145126
87,28,16.67191736591461,7,2,4,Vendredi,Mobile,Réseaux,1,0,86823.2628813441
88,63,4.949332246312693,7,2,4,Dimanche,Desktop,Payant,0,0,69562.29032977084
89,25,18.15507120309116,7,2,4,Mardi,Mobile,Payant,0,0,79848.03887216577
90,46,43.24702862171215,7,2,4,Jeudi,Mobile,Payant,1,1,134890.90953778278
91,47,1.7187352578876198,7,2,4,Dimanche,Desktop,Direct,1,0,82494.57854774068
92,73,6.777263924249016,7,2,4,Vendredi,Mobile,Organique,0,1,87155.89726658969
93,27,9.64851881504003,7,2,4,Jeudi,Mobile,Réseaux,0,0,65637.49248180016
94,56,35.42823852328828,7,2,4,Samedi,Desktop,Organique,0,0,115429.38325171913
95,45,50.156096060539475,7,2,4,Mardi,Mobile,Direct,0,0,126517.55811156453
96,66,9.807914261315242,7,2,4,Mercredi,Desktop,Organique,0,1,97854.73861655769
97,53,21.79612024220715,7,2,4,Dimanche,Mobile,Direct,0,1,93112.40619015043
98,30,12.378444055802923,7,2,4,Mercredi,Desktop,Payant,0,0,70816.06762838199
99,49,12.575809900265307,7,2,4,Mardi,Desktop,Réseaux,0,0,76960.06842020171
100,53,5.888019731364426,7,2,4,Jeudi,Desktop,Payant,0,0,61952.18891399163
101,54,4.668500566447159,7,2,4,Samedi,Mobile,Organique,0,1,83774.46800574409
102,43,6.095273138779471,7,2,4,Vendredi,Desktop,Payant,0,1,91003.91796513707
103,39,13.190046169711444,7,2,4,Mardi,Desktop,Réseaux,0,0,73825.07069445291
104,21,1.4438296643434834,7,2,4,Lundi,Desktop,Payant,0,0,55961.804988483134
105,48,36.66754293935902,7,2,4,Jeudi,Mobile,Réseaux,0,0,108193.07726715071
106,35,3.549084844787444,7,2,4,Mercredi,Desktop,Réseaux,0,1,65147.82155877955
107,55,4.7286258108723,7,2,4,Dimanche,Desktop,Payant,1,0,75816.01999263951
108,41,11.95576463993877,7,2,4,Mardi,Mobile,Direct,0,1,78176.73536404513
109,73,19.574052704805194,7,2,4,Mercredi,Mobile,Organique,0,0,84317.18164806097
110,40,2.5093936794008234,7,2,4,Jeudi,Desktop,Direct,0,1,81259.1743313023
111,39,6.73417095627917,7,2,4,Mercredi,Mobile,Direct,1,1,94200.2954575285
112,19,52.94989280317101,7,2,4,Mardi,Tablette,Payant,0,1,127031.08796689504
113,48,5.564144305525792,7,2,4,Jeudi,Desktop,Organique,0,1,82542.98659259891
114,72,6.632409711731184,7,2,4,Lundi,Desktop,Organique,0,1,78630.98699866179
115,28,28.16399585490184,7,2,4,Mardi,Mobile,Direct,0,0,84926.8751209916
116,45,1.7727855615174284,7,2,4,Vendredi,Mobile,Payant,0,0,61390.7224491663
117,63,10.37148616607345,7,2,4,Samedi,Tablette,Organique,0,0,84842.58377138003
118,49,8.161268050742212,7,2,4,Mardi,Mobile,Direct,0,1,83734.79819232787
119,22,6.709833484529664,7,2,4,Jeudi,Desktop,Organique,0,0,61506.41154821289
120,55,6.04677502743113,7,2,4,Dimanche,Mobile,Payant,0,1,80155.44645173069
121,27,2.4373273902906885,7,2,4,Samedi,Mobile,Payant,0,1,68366.94373498118
122,57,6.6712331397884865,7,2,4,Mardi,Mobile,Payant,1,0,92262.64194171953
123,63,1.6600996946060178,7,2,4,Lundi,Mobile,Organique,0,0,59945.91220014496
124,41,23.777778348818003,7,2,4,Dimanche,Tablette,Réseaux,1,0,108413.20853864873
125,52,8.618144508429458,7,2,4,Lundi,Mobile,Organique,0,0,65172.108590131305
126,61,9.802210543519177,7,2,4,Vendredi,Mobile,Réseaux,0,0,77234.48646801052
127,65,34.60748236211216,7,2,4,Dimanche,Mobile,Payant,0,0,107360.05787761895
128,40,17.09657989553044,7,2,4,Mercredi,Mobile,Direct,1,1,125489.46929237263
129,34,1.121376301812962,7,2,4,Dimanche,Mobile,Réseaux,0,1,66052.69474180127
130,18,44.01663690611289,7,2,4,Samedi,Desktop,Payant,0,0,98244.02518799448
131,72,5.0602990756747035,7,2,4,Dimanche,Mobile,Payant,0,0,73215.11140920002
132,48,2.707850674291074,7,2,4,Jeudi,Mobile,Réseaux,0,0,66554.08416724947
133,48,22.92355829526069,7,2,4,Jeudi,Mobile,Direct,0,1,110420.39521409053
134,59,11.411534023666823,7,2,4,Mercredi,Tablette,Payant,0,1,84120.69635140493
135,74,9.531338837846304,7,2,4,Dimanche,Mobile,Réseaux,0,0,70241.15064772381
136,72,5.305295971375353,7,2,4,Lundi,Mobile,Direct,0,0,79765.22014737464
137,59,12.893567679967152,7,2,4,Lundi,Desktop,Direct,0,1,80880.15213711426
138,70,5.811027456423324,7,2,4,Mardi,Mobile,Payant,0,1,81390.62782604052
139,73,35.77812669009084,7,2,4,Vendredi,Mobile,Organique,0,0,112974.431783922
140,51,4.6349811830209156,7,2,4,Samedi,Mobile,Organique,0,1,76028.2262306417
141,26,33.358471392241455,7,2,4,Vendredi,Desktop,Payant,0,0,100613.6247176732
142,39,13.294452386438257,7,2,4,Dimanche,Mobile,Direct,0,0,69595.42807725829
143,30,27.44654236981683,7,2,4,Vendredi,Desktop,Payant,1,1,117347.04390276776
144,42,19.7160491102963,7,2,4,Mardi,Desktop,Réseaux,1,1,112849.55352266965
145,65,18.89525119755561,7,2,4,Vendredi,Mobile,Organique,1,0,110555.14569054592
146,35,6.881108255052854,7,2,4,Mercredi,Mobile,Réseaux,0,1,74827.51980845614
147,68,4.9965784611897766,7,2,4,Mardi,Mobile,Payant,0,0,75556.35561186651
148,29,4.552671556129058,7,2,4,Mercredi,Desktop,Payant,0,1,74698.64852668245
149,57,30.19377710246208,7,2,4,Dimanche,Mobile,Direct,0,0,104678.10146173916
150,34,26.75758701334182,7,2,4,Mardi,Mobile,Direct,0,1,102868.42416646317
151,32,9.712647658376197,7,2,4,Dimanche,Mobile,Direct,0,1,66550.0066902834
152,59,3.1304472637317375,7,2,4,Dimanche,Tablette,Réseaux,1,0,87287.37734502378
153,32,8.225126193568439,7,2,4,Vendredi,Mobile,Direct,1,1,97755.6897529852
154,32,15.48786647256119,7,2,4,Mercredi,Tablette,Payant,0,1,89253.6699034916
155,72,10.088124312115996,7,2,4,Dimanche,Mobile,Direct,0,1,85970.5452776406
156,56,23.724826212943857,7,2,4,Mercredi,Mobile,Organique,0,0,88987.81508843582
157,30,91.62761972274016,7,2,4,Mercredi,Mobile,Direct,0,1,179806.82241368206
158,34,4.181794734788383,7,2,4,Mardi,Mobile,Réseaux,0,1,73836.66214686108
159,49,10.233095772085465,7,2,4,Jeudi,Mobile,Organique,0,0,80109.77637118552
160,26,9.457698300654496,7,2,4,Vendredi,Mobile,Organique,0,1,71945.7210710974
161,57,6.446702967314172,7,2,4,Dimanche,Tablette,Organique,0,0,76944.83404143875
162,37,4.311486645450183,7,2,4,Mercredi,Desktop,Réseaux,0,0,62459.34025556783
163,43,2.0192388300975304,7,2,4,Samedi,Desktop,Payant,0,0,59798.63102701381
164,44,33.721358841464905,7,2,4,Jeudi,Mobile,Direct,0,0,101085.41337701134
165,38,9.166995151048493,7,2,4,Dimanche,Mobile,Organique,1,1,102704.06808601765
166,35,11.30436120629231,7,2,4,Samedi,Mobile,Organique,0,0,72288.74788019824
167,30,38.32325050565572,7,2,4,Vendredi,Desktop,Organique,0,1,128645.11471350101
168,33,23.461102649375224,7,2,4,Vendredi,Tablette,Payant,0,0,79844.47305904908
169,26,3.0975759854898444,7,2,4,Mercredi,Mobile,Payant,0,0,59851.39068928804
170,29,13.50062735514885,7,2,4,Mercredi,Mobile,Réseaux,1,0,87252.05522097959
171,61,9.757727909359911,7,2,4,Dimanche,Mobile,Payant,0,0,70951.29379648587
172,55,24.933844109054075,7,2,4,Mardi,Mobile,Direct,0,1,104314.65603528178
173,36,20.32295998349191,7,2,4,Jeudi,Mobile,Réseaux,0,1,93022.73631849048
174,24,18.587389285933927,7,2,4,Dimanche,Desktop,Réseaux,1,1,124683.51675021705
175,74,7.245119397762298,7,2,4,Jeudi,Desktop,Direct,0,0,76404.95131834364
176,52,25.518546096419858,7,2,4,Mercredi,Mobile,Direct,0,0,86941.62470818534
177,65,1.8072043150284371,7,2,4,Vendredi,Mobile,Direct,0,0,69328.15785227547
178,35,3.6086041135397027,7,2,4,Mercredi,Tablette,Réseaux,0,0,46485.8791428083
179,33,7.133588956307452,7,2,4,Vendredi,Mobile,Réseaux,0,0,63435.184606704825
180,72,2.1987616501674223,7,2,4,Dimanche,Mobile,Réseaux,0,1,80275.34336075262
181,56,5.018079472551557,7,2,4,Vendredi,Mobile,Direct,0,0,74003.31661733368
182,21,27.59268057759336,7,2,4,Mercredi,Mobile,Direct,1,1,122761.1372903997
