user_id,product_id,category,views,clicks,add_to_cart,purchase,price_fcfa,competitor_price_fcfa,stock,timestamp
99,165,Beauty,5,0,0,0,89342.0,87682.0,394,2024-06-28 16:06:00
231,180,Home,4,1,1,1,104901.0,109686.0,575,2024-08-26 13:18:00
18,15,Food,4,1,0,0,26126.0,22409.0,738,2024-05-30 10:05:00
84,496,Sports,2,1,0,0,90382.0,88850.0,815,2024-12-10 15:36:00
107,204,Sports,4,2,1,1,37401.0,40159.0,326,2024-11-06 20:03:00
124,297,Fashion,2,1,0,0,122836.0,121246.0,580,2024-03-21 13:01:00
58,307,Home,4,2,1,0,18305.0,17734.0,322,2024-02-20 08:46:00
215,451,Electronics,4,1,0,0,94032.0,98312.0,230,2024-05-16 02:50:00
226,243,Sports,4,1,0,0,44481.0,39807.0,412,2024-03-10 12:57:00
97,124,Food,8,2,1,0,136473.0,136385.0,141,2024-01-31 22:52:00
114,54,Home,5,2,0,0,44073.0,44175.0,521,2024-04-10 03:48:00
127,464,Electronics,3,3,0,0,99558.0,95220.0,527,2024-11-17 09:00:00
48,264,Fashion,3,2,1,1,31125.0,29899.0,721,2024-07-21 00:28:00
74,232,Home,6,3,1,0,54208.0,52120.0,191,2024-04-17 02:14:00
33,111,Sports,4,1,1,1,14448.0,9488.0,950,2024-10-29 12:38:00
225,375,Fashion,5,1,1,0,116291.0,118951.0,421,2024-10-27 01:20:00
112,341,Electronics,7,4,0,0,110922.0,115584.0,212,2024-04-06 22:29:00
254,442,Food,2,0,0,0,140702.0,139084.0,775,2024-05-06 04:01:00
97,244,Fashion,5,0,0,0,6284.0,1498.0,786,2024-03-31 07:09:00
209,256,Sports,7,4,0,0,117208.0,112937.0,541,2024-03-30 05:47:00
69,138,Sports,2,0,0,0,106611.0,104427.0,553,2024-02-12 03:38:00
3,33,Sports,7,6,2,1,103967.0,107228.0,42,2024-06-22 08:01:00
40,93,Electronics,2,1,0,0,112314.0,113190.0,112,2024-03-02 11:40:00
85,211,Electronics,3,1,0,0,100028.0,95190.0,132,2024-09-20 22:09:00
48,223,Sports,4,3,2,1,138100.0,138516.0,364,2024-04-11 20:42:00
177,382,Fashion,6,3,2,0,46731.0,50893.0,560,2024-05-04 13:10:00
136,190,Home,2,1,1,1,93814.0,98812.0,370,2024-07-21 13:28:00
100,140,Beauty,3,2,0,0,110569.0,108300.0,611,2024-07-05 20:55:00
181,170,Beauty,4,0,0,0,129649.0,125319.0,89,2024-03-05 15:23:00
214,289,Fashion,8,2,0,0,75717.0,78085.0,731,2024-10-16 07:40:00
119,291,Home,5,4,1,0,133996.0,129447.0,903,2024-05-28 18:00:00
291,232,Food,3,1,0,0,4224.0,8469.0,372,2024-10-29 19:18:00
77,108,Home,5,2,0,0,53635.0,56608.0,44,2024-05-04 07:01:00
169,399,Beauty,0,0,0,0,124943.0,122586.0,163,2024-05-12 11:43:00
107,375,Food,5,5,3,0,3936.0,7638.0,749,2024-04-13 21:41:00
65,366,Beauty,5,2,1,0,44801.0,40512.0,707,2024-01-18 02:51:00
279,388,Beauty,6,2,0,0,85850.0,82505.0,956,2024-09-19 07:01:00
206,365,Food,6,4,4,3,59233.0,62132.0,113,2024-03-02 15:59:00
147,17,Beauty,3,0,0,0,32428.0,29529.0,503,2024-02-20 23:55:00
272,242,Beauty,4,2,0,0,139338.0,142014.0,497,2024-03-23 13:56:00
254,90,Sports,7,1,1,0,15860.0,17368.0,487,2024-04-25 08:14:00
159,270,Home,7,3,3,0,106051.0,101516.0,293,2024-02-17 23:21:00
181,340,Sports,3,1,0,0,138638.0,138667.0,693,2024-07-11 07:51:00
71,82,Electronics,5,1,0,0,24581.0,26183.0,587,2024-06-24 08:18:00
155,3,Sports,5,3,1,1,50184.0,53576.0,417,2024-05-05 22:48:00
209,408,Sports,2,1,1,0,44440.0,48355.0,212,2024-04-27 05:42:00
271,475,Food,4,3,0,0,117459.0,118263.0,700,2024-01-06 23:38:00
256,324,Sports,7,2,0,0,141339.0,140521.0,289,2024-11-23 22:14:00
245,342,Fashion,4,1,0,0,43908.0,42388.0,623,2024-04-19 17:25:00
130,462,Electronics,2,1,0,0,110099.0,111312.0,210,2024-05-08 18:58:00
44,404,Beauty,7,1,0,0,87694.0,85259.0,690,2024-04-17 21:29:00
187,196,Fashion,3,1,1,1,24911.0,29810.0,165,2024-06-20 21:13:00
184,52,Food,2,1,1,0,104783.0,106887.0,344,2024-12-05 11:54:00
26,356,Sports,6,1,0,0,108643.0,109281.0,296,2024-01-21 12:04:00
269,224,Electronics,3,1,1,1,57925.0,56397.0,154,2024-10-02 09:39:00
19,240,Food,8,2,1,0,6277.0,7480.0,434,2024-08-28 06:18:00
2,97,Home,3,2,1,0,59455.0,58036.0,564,2024-12-16 15:11:00
52,357,Fashion,6,4,1,0,105426.0,105294.0,646,2024-12-13 08:23:00
234,341,Fashion,5,2,0,0,116399.0,119684.0,171,2024-09-12 03:43:00
57,268,Beauty,1,0,0,0,5137.0,2672.0,949,2024-10-14 10:57:00
4,65,Fashion,5,3,2,1,130898.0,126702.0,159,2024-01-19 00:34:00
68,311,Food,4,1,1,0,94701.0,93048.0,687,2024-10-29 01:07:00
140,362,Electronics,4,1,0,0,55654.0,51530.0,935,2024-02-24 21:15:00
